,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Surinam_1992,0,0,0,Surinam,surinam,JJ,JJ
1,Surinam_1992,0,0,1,1987,1987,CD,CD
2,Surinam_1992,0,0,3,rev,rev,NN,NN
3,Surinam_1992,0,1,0,1992,1992,CD,CD
4,Surinam_1992,0,1,2,Preamble,preamble,JJ,JJ
5,Surinam_1992,0,1,3,Share,share,NN,NN
6,Surinam_1992,0,1,4,WE,we,NNP,NN
7,Surinam_1992,0,1,6,THE,the,NNP,NN
8,Surinam_1992,0,1,7,PEOPLE,people,NNP,NN
9,Surinam_1992,0,1,8,OF,of,NNP,NN
10,Surinam_1992,0,1,9,SURINAME,suriname,NNP,NN
11,Surinam_1992,0,1,11,inspired,inspired,VBN,VB
12,Surinam_1992,0,1,12,by,by,IN,IN
13,Surinam_1992,0,1,13,the,the,DT,DT
14,Surinam_1992,0,1,14,love,love,NN,NN
15,Surinam_1992,0,1,15,for,for,IN,IN
16,Surinam_1992,0,1,16,this,this,DT,DT
17,Surinam_1992,0,1,17,Country,country,NNP,NN
18,Surinam_1992,0,1,18,and,and,CC,CC
19,Surinam_1992,0,1,19,the,the,DT,DT
20,Surinam_1992,0,1,20,belief,belief,NN,NN
21,Surinam_1992,0,1,21,in,in,IN,IN
22,Surinam_1992,0,1,22,the,the,DT,DT
23,Surinam_1992,0,1,23,power,power,NN,NN
24,Surinam_1992,0,1,24,of,of,IN,IN
25,Surinam_1992,0,1,25,the,the,DT,DT
26,Surinam_1992,0,1,26,Almighty,almighty,NNP,NN
27,Surinam_1992,0,1,27,and,and,CC,CC
28,Surinam_1992,0,1,28,guided,guided,VBN,VB
29,Surinam_1992,0,1,29,by,by,IN,IN
30,Surinam_1992,0,1,30,the,the,DT,DT
31,Surinam_1992,0,1,31,centuries-long,centurieslong,JJ,JJ
32,Surinam_1992,0,1,32,struggle,struggle,NN,NN
33,Surinam_1992,0,1,33,of,of,IN,IN
34,Surinam_1992,0,1,34,our,our,PRP$,PR
35,Surinam_1992,0,1,35,people,people,NNS,NN
36,Surinam_1992,0,1,36,against,against,IN,IN
37,Surinam_1992,0,1,37,colonialism,colonialism,NN,NN
38,Surinam_1992,0,1,39,which,which,WDT,WD
39,Surinam_1992,0,1,40,was,was,VBD,VB
40,Surinam_1992,0,1,41,terminated,terminated,VBN,VB
41,Surinam_1992,0,1,42,by,by,IN,IN
42,Surinam_1992,0,1,43,the,the,DT,DT
43,Surinam_1992,0,1,44,establishment,establishment,NN,NN
44,Surinam_1992,0,1,45,of,of,IN,IN
45,Surinam_1992,0,1,46,the,the,DT,DT
46,Surinam_1992,0,1,47,Republic,republic,NNP,NN
47,Surinam_1992,0,1,48,of,of,IN,IN
48,Surinam_1992,0,1,49,Suriname,suriname,NNP,NN
49,Surinam_1992,0,1,50,on,on,IN,IN
50,Surinam_1992,0,1,51,25,25,CD,CD
51,Surinam_1992,0,1,52,November,november,NNP,NN
52,Surinam_1992,0,1,53,1975,1975,CD,CD
53,Surinam_1992,0,1,55,taking,taking,VBG,VB
54,Surinam_1992,0,1,56,the,the,DT,DT
55,Surinam_1992,0,1,57,coup,coup,NN,NN
56,Surinam_1992,0,1,58,d'ètat,dètat,NN,NN
57,Surinam_1992,0,1,59,of,of,IN,IN
58,Surinam_1992,0,1,60,25,25,CD,CD
59,Surinam_1992,0,1,61,February,february,NNP,NN
60,Surinam_1992,0,1,62,1980,1980,CD,CD
61,Surinam_1992,0,1,63,and,and,CC,CC
62,Surinam_1992,0,1,64,the,the,DT,DT
63,Surinam_1992,0,1,65,consequences,consequences,NNS,NN
64,Surinam_1992,0,1,66,thereof,thereof,NN,NN
65,Surinam_1992,0,1,68,conscious,conscious,JJ,JJ
66,Surinam_1992,0,1,69,of,of,IN,IN
67,Surinam_1992,0,1,70,our,our,PRP$,PR
68,Surinam_1992,0,1,71,duty,duty,NN,NN
69,Surinam_1992,0,1,72,to,to,TO,TO
70,Surinam_1992,0,1,73,combat,combat,NN,NN
71,Surinam_1992,0,1,74,and,and,CC,CC
72,Surinam_1992,0,1,75,to,to,TO,TO
73,Surinam_1992,0,1,76,prevent,prevent,VB,VB
74,Surinam_1992,0,1,77,every,every,DT,DT
75,Surinam_1992,0,1,78,form,form,NN,NN
76,Surinam_1992,0,1,79,of,of,IN,IN
77,Surinam_1992,0,1,80,foreign,foreign,JJ,JJ
78,Surinam_1992,0,1,81,domination,domination,NN,NN
79,Surinam_1992,0,1,83,resolved,resolved,VBN,VB
80,Surinam_1992,0,1,84,to,to,TO,TO
81,Surinam_1992,0,1,85,defend,defend,VB,VB
82,Surinam_1992,0,1,86,and,and,CC,CC
83,Surinam_1992,0,1,87,protect,protect,VB,VB
84,Surinam_1992,0,1,88,the,the,DT,DT
85,Surinam_1992,0,1,89,national,national,JJ,JJ
86,Surinam_1992,0,1,90,sovereignty,sovereignty,NN,NN
87,Surinam_1992,0,1,92,independence,independence,NN,NN
88,Surinam_1992,0,1,93,and,and,CC,CC
89,Surinam_1992,0,1,94,integrity,integrity,NN,NN
90,Surinam_1992,0,1,96,assured,assured,VBN,VB
91,Surinam_1992,0,1,97,of,of,IN,IN
92,Surinam_1992,0,1,98,the,the,DT,DT
93,Surinam_1992,0,1,99,will,will,MD,MD
94,Surinam_1992,0,1,100,to,to,TO,TO
95,Surinam_1992,0,1,101,determine,determine,VB,VB
96,Surinam_1992,0,1,102,our,our,PRP$,PR
97,Surinam_1992,0,1,103,economic,economic,JJ,JJ
98,Surinam_1992,0,1,105,social,social,JJ,JJ
99,Surinam_1992,0,1,106,and,and,CC,CC
100,Surinam_1992,0,1,107,cultural,cultural,JJ,JJ
101,Surinam_1992,0,1,108,development,development,NN,NN
102,Surinam_1992,0,1,109,in,in,IN,IN
103,Surinam_1992,0,1,110,full,full,JJ,JJ
104,Surinam_1992,0,1,111,freedom,freedom,NN,NN
105,Surinam_1992,0,1,112,convinced,convinced,VBN,VB
106,Surinam_1992,0,1,113,of,of,IN,IN
107,Surinam_1992,0,1,114,our,our,PRP$,PR
108,Surinam_1992,0,1,115,duty,duty,NN,NN
109,Surinam_1992,0,1,116,to,to,TO,TO
110,Surinam_1992,0,1,117,honor,honor,VB,VB
111,Surinam_1992,0,1,118,and,and,CC,CC
112,Surinam_1992,0,1,119,to,to,TO,TO
113,Surinam_1992,0,1,120,guarantee,guarantee,VB,VB
114,Surinam_1992,0,1,121,the,the,DT,DT
115,Surinam_1992,0,1,122,principles,principles,NNS,NN
116,Surinam_1992,0,1,123,of,of,IN,IN
117,Surinam_1992,0,1,124,freedom,freedom,NN,NN
118,Surinam_1992,0,1,126,equality,equality,NN,NN
119,Surinam_1992,0,1,127,and,and,CC,CC
120,Surinam_1992,0,1,128,democracy,democracy,NN,NN
121,Surinam_1992,0,1,129,as,as,RB,RB
122,Surinam_1992,0,1,130,well,well,RB,RB
123,Surinam_1992,0,1,131,as,as,IN,IN
124,Surinam_1992,0,1,132,the,the,DT,DT
125,Surinam_1992,0,1,133,fundamental,fundamental,JJ,JJ
126,Surinam_1992,0,1,134,rights,rights,NNS,NN
127,Surinam_1992,0,1,135,and,and,CC,CC
128,Surinam_1992,0,1,136,freedoms,freedoms,NNS,NN
129,Surinam_1992,0,1,137,of,of,IN,IN
130,Surinam_1992,0,1,138,man,man,NN,NN
131,Surinam_1992,0,1,140,inspired,inspired,VBN,VB
132,Surinam_1992,0,1,141,by,by,IN,IN
133,Surinam_1992,0,1,142,a,a,DT,DT
134,Surinam_1992,0,1,143,civic,civic,JJ,JJ
135,Surinam_1992,0,1,144,spirit,spirit,NN,NN
136,Surinam_1992,0,1,145,and,and,CC,CC
137,Surinam_1992,0,1,146,by,by,IN,IN
138,Surinam_1992,0,1,147,the,the,DT,DT
139,Surinam_1992,0,1,148,participation,participation,NN,NN
140,Surinam_1992,0,1,149,in,in,IN,IN
141,Surinam_1992,0,1,150,the,the,DT,DT
142,Surinam_1992,0,1,151,construction,construction,NN,NN
143,Surinam_1992,0,1,153,expansion,expansion,NN,NN
144,Surinam_1992,0,1,154,and,and,CC,CC
145,Surinam_1992,0,1,155,maintenance,maintenance,NN,NN
146,Surinam_1992,0,1,156,of,of,IN,IN
147,Surinam_1992,0,1,157,a,a,DT,DT
148,Surinam_1992,0,1,158,society,society,NN,NN
149,Surinam_1992,0,1,159,that,that,WDT,WD
150,Surinam_1992,0,1,160,is,is,VBZ,VB
151,Surinam_1992,0,1,161,socially,socially,RB,RB
152,Surinam_1992,0,1,162,just,just,RB,RB
153,Surinam_1992,0,1,164,determined,determined,VBD,VB
154,Surinam_1992,0,1,165,to,to,TO,TO
155,Surinam_1992,0,1,166,collaborate,collaborate,VB,VB
156,Surinam_1992,0,1,167,with,with,IN,IN
157,Surinam_1992,0,1,168,one,one,CD,CD
158,Surinam_1992,0,1,169,another,another,DT,DT
159,Surinam_1992,0,1,170,and,and,CC,CC
160,Surinam_1992,0,1,171,with,with,IN,IN
161,Surinam_1992,0,1,172,all,all,DT,DT
162,Surinam_1992,0,1,173,peoples,peoples,NNS,NN
163,Surinam_1992,0,1,174,of,of,IN,IN
164,Surinam_1992,0,1,175,the,the,DT,DT
165,Surinam_1992,0,1,176,world,world,NN,NN
166,Surinam_1992,0,1,177,on,on,IN,IN
167,Surinam_1992,0,1,178,the,the,DT,DT
168,Surinam_1992,0,1,179,basis,basis,NN,NN
169,Surinam_1992,0,1,180,of,of,IN,IN
170,Surinam_1992,0,1,181,freedom,freedom,NN,NN
171,Surinam_1992,0,1,183,equality,equality,NN,NN
172,Surinam_1992,0,1,185,peaceful,peaceful,JJ,JJ
173,Surinam_1992,0,1,186,coexistence,coexistence,NN,NN
174,Surinam_1992,0,1,187,and,and,CC,CC
175,Surinam_1992,0,1,188,international,international,JJ,JJ
176,Surinam_1992,0,1,189,solidarity,solidarity,NN,NN
177,Surinam_1992,0,1,191,SOLEMNLY,solemnly,NNP,NN
178,Surinam_1992,0,1,192,DECLARE,declare,NNP,NN
179,Surinam_1992,0,1,194,TO,to,NNP,NN
180,Surinam_1992,0,1,195,ACCEPT,accept,NNP,NN
181,Surinam_1992,0,1,197,AS,as,IN,IN
182,Surinam_1992,0,1,198,A,a,DT,DT
183,Surinam_1992,0,1,199,RESULT,result,NNP,NN
184,Surinam_1992,0,1,200,OF,of,IN,IN
185,Surinam_1992,0,1,201,THE,the,NNP,NN
186,Surinam_1992,0,1,202,PLEBISCITE,plebiscite,NNP,NN
187,Surinam_1992,0,1,203,HELD,held,NNP,NN
188,Surinam_1992,0,1,205,THE,the,NNP,NN
189,Surinam_1992,0,1,206,FOLLOWING,following,NNP,NN
190,Surinam_1992,0,1,207,CONSTITUTION,constitution,NNP,NN
191,Surinam_1992,0,2,0,CHAPTER,chapter,NN,NN
192,Surinam_1992,0,2,1,I,i,PRP,PR
193,Surinam_1992,0,3,0,SOVEREIGNTY,sovereignty,NNP,NN
194,Surinam_1992,0,3,1,First,first,NNP,NN
195,Surinam_1992,0,3,2,Section,section,NNP,NN
196,Surinam_1992,0,4,0,THE,the,DT,DT
197,Surinam_1992,0,4,1,REPUBLIC,republic,NNP,NN
198,Surinam_1992,0,4,2,OF,of,NNP,NN
199,Surinam_1992,0,4,3,SURINAME,suriname,NNP,NN
200,Surinam_1992,0,4,4,Share,share,NNP,NN
201,Surinam_1992,0,4,5,Article,article,NNP,NN
202,Surinam_1992,0,4,6,1,1,CD,CD
203,Surinam_1992,0,4,7,Share,share,NNP,NN
204,Surinam_1992,0,4,8,1,1,CD,CD
205,Surinam_1992,0,5,0,The,the,DT,DT
206,Surinam_1992,0,5,1,Republic,republic,NNP,NN
207,Surinam_1992,0,5,2,of,of,IN,IN
208,Surinam_1992,0,5,3,Suriname,suriname,NNP,NN
209,Surinam_1992,0,5,4,is,is,VBZ,VB
210,Surinam_1992,0,5,5,a,a,DT,DT
211,Surinam_1992,0,5,6,democratic,democratic,JJ,JJ
212,Surinam_1992,0,5,7,State,state,NNP,NN
213,Surinam_1992,0,5,8,based,based,VBN,VB
214,Surinam_1992,0,5,9,upon,upon,IN,IN
215,Surinam_1992,0,5,10,the,the,DT,DT
216,Surinam_1992,0,5,11,sovereignty,sovereignty,NN,NN
217,Surinam_1992,0,5,12,of,of,IN,IN
218,Surinam_1992,0,5,13,the,the,DT,DT
219,Surinam_1992,0,5,14,people,people,NNS,NN
220,Surinam_1992,0,5,15,and,and,CC,CC
221,Surinam_1992,0,5,16,on,on,IN,IN
222,Surinam_1992,0,5,17,the,the,DT,DT
223,Surinam_1992,0,5,18,respect,respect,NN,NN
224,Surinam_1992,0,5,19,and,and,CC,CC
225,Surinam_1992,0,5,20,guarantee,guarantee,NN,NN
226,Surinam_1992,0,5,21,of,of,IN,IN
227,Surinam_1992,0,5,22,the,the,DT,DT
228,Surinam_1992,0,5,23,fundamental,fundamental,JJ,JJ
229,Surinam_1992,0,5,24,right,right,NN,NN
230,Surinam_1992,0,5,25,and,and,CC,CC
231,Surinam_1992,0,5,26,liberties,liberties,NNS,NN
232,Surinam_1992,0,6,0,2,2,CD,CD
233,Surinam_1992,0,7,0,The,the,DT,DT
234,Surinam_1992,0,7,1,Suriname,suriname,NNP,NN
235,Surinam_1992,0,7,2,Nation,nation,NNP,NN
236,Surinam_1992,0,7,3,shall,shall,MD,MD
237,Surinam_1992,0,7,4,determine,determine,VB,VB
238,Surinam_1992,0,7,5,in,in,IN,IN
239,Surinam_1992,0,7,6,full,full,JJ,JJ
240,Surinam_1992,0,7,7,freedom,freedom,NN,NN
241,Surinam_1992,0,7,8,its,its,PRP$,PR
242,Surinam_1992,0,7,9,economic,economic,JJ,JJ
243,Surinam_1992,0,7,10,social,social,JJ,JJ
244,Surinam_1992,0,7,11,and,and,CC,CC
245,Surinam_1992,0,7,12,cultural,cultural,JJ,JJ
246,Surinam_1992,0,7,13,development,development,NN,NN
247,Surinam_1992,0,8,0,Second,second,JJ,JJ
248,Surinam_1992,0,8,1,Section,section,NN,NN
249,Surinam_1992,0,9,0,TERRITORY,territory,NNP,NN
250,Surinam_1992,0,9,1,Share,share,NNP,NN
251,Surinam_1992,0,9,2,Article,article,NNP,NN
252,Surinam_1992,0,9,3,2,2,CD,CD
253,Surinam_1992,0,9,4,Share,share,NNP,NN
254,Surinam_1992,0,9,5,1,1,CD,CD
255,Surinam_1992,0,10,0,Suriname,suriname,NNP,NN
256,Surinam_1992,0,10,1,consists,consists,VBZ,VB
257,Surinam_1992,0,10,2,of,of,IN,IN
258,Surinam_1992,0,10,3,the,the,DT,DT
259,Surinam_1992,0,10,4,territory,territory,NN,NN
260,Surinam_1992,0,10,5,on,on,IN,IN
261,Surinam_1992,0,10,6,the,the,DT,DT
262,Surinam_1992,0,10,7,South,south,JJ,JJ
263,Surinam_1992,0,10,8,American,american,JJ,JJ
264,Surinam_1992,0,10,9,continent,continent,NN,NN
265,Surinam_1992,0,10,11,which,which,WDT,WD
266,Surinam_1992,0,10,12,has,has,VBZ,VB
267,Surinam_1992,0,10,13,been,been,VBN,VB
268,Surinam_1992,0,10,14,defined,defined,VBN,VB
269,Surinam_1992,0,10,15,as,as,IN,IN
270,Surinam_1992,0,10,16,such,such,JJ,JJ
271,Surinam_1992,0,11,0,2,2,CD,CD
272,Surinam_1992,0,12,0,The,the,DT,DT
273,Surinam_1992,0,12,1,State,state,NNP,NN
274,Surinam_1992,0,12,2,shall,shall,MD,MD
275,Surinam_1992,0,12,3,not,not,RB,RB
276,Surinam_1992,0,12,4,alienate,alienate,VB,VB
277,Surinam_1992,0,12,5,any,any,DT,DT
278,Surinam_1992,0,12,6,territory,territory,NN,NN
279,Surinam_1992,0,12,7,or,or,CC,CC
280,Surinam_1992,0,12,8,sovereign,sovereign,NN,NN
281,Surinam_1992,0,12,9,rights,rights,NNS,NN
282,Surinam_1992,0,12,10,which,which,WDT,WD
283,Surinam_1992,0,12,11,it,it,PRP,PR
284,Surinam_1992,0,12,12,exercises,exercises,VBZ,VB
285,Surinam_1992,0,12,13,over,over,IN,IN
286,Surinam_1992,0,12,14,that,that,DT,DT
287,Surinam_1992,0,12,15,territory,territory,NN,NN
288,Surinam_1992,0,13,0,3,3,CD,CD
289,Surinam_1992,0,14,0,The,the,DT,DT
290,Surinam_1992,0,14,1,extent,extent,NN,NN
291,Surinam_1992,0,14,2,and,and,CC,CC
292,Surinam_1992,0,14,3,boundaries,boundaries,NNS,NN
293,Surinam_1992,0,14,4,of,of,IN,IN
294,Surinam_1992,0,14,5,the,the,DT,DT
295,Surinam_1992,0,14,6,territorial,territorial,JJ,JJ
296,Surinam_1992,0,14,7,waters,waters,NNS,NN
297,Surinam_1992,0,14,8,and,and,CC,CC
298,Surinam_1992,0,14,9,the,the,DT,DT
299,Surinam_1992,0,14,10,rights,rights,NNS,NN
300,Surinam_1992,0,14,11,of,of,IN,IN
301,Surinam_1992,0,14,12,Suriname,suriname,NNP,NN
302,Surinam_1992,0,14,13,to,to,TO,TO
303,Surinam_1992,0,14,14,the,the,DT,DT
304,Surinam_1992,0,14,15,adjacent,adjacent,JJ,JJ
305,Surinam_1992,0,14,16,continental,continental,NN,NN
306,Surinam_1992,0,14,17,shelf,shelf,NN,NN
307,Surinam_1992,0,14,18,and,and,CC,CC
308,Surinam_1992,0,14,19,the,the,DT,DT
309,Surinam_1992,0,14,20,economic,economic,JJ,JJ
310,Surinam_1992,0,14,21,zone,zone,NN,NN
311,Surinam_1992,0,14,22,are,are,VBP,VB
312,Surinam_1992,0,14,23,determined,determined,VBN,VB
313,Surinam_1992,0,14,24,by,by,IN,IN
314,Surinam_1992,0,14,25,law,law,NN,NN
315,Surinam_1992,0,15,0,Third,third,JJ,JJ
316,Surinam_1992,0,15,1,Section,section,NN,NN
317,Surinam_1992,0,16,0,NATIONALITY,nationality,NNP,NN
318,Surinam_1992,0,16,1,Share,share,NNP,NN
319,Surinam_1992,0,16,2,Article,article,NNP,NN
320,Surinam_1992,0,16,3,3,3,CD,CD
321,Surinam_1992,0,16,4,Share,share,NNP,NN
322,Surinam_1992,0,16,5,1.,1,CD,CD
323,Surinam_1992,0,16,6,Who,who,NNP,NN
324,Surinam_1992,0,16,7,is,is,VBZ,VB
325,Surinam_1992,0,16,8,a,a,DT,DT
326,Surinam_1992,0,16,9,Suriname,suriname,JJ,JJ
327,Surinam_1992,0,16,10,national,national,JJ,JJ
328,Surinam_1992,0,16,11,and,and,CC,CC
329,Surinam_1992,0,16,12,who,who,WP,WP
330,Surinam_1992,0,16,13,is,is,VBZ,VB
331,Surinam_1992,0,16,14,a,a,DT,DT
332,Surinam_1992,0,16,15,resident,resident,JJ,JJ
333,Surinam_1992,0,16,16,shall,shall,MD,MD
334,Surinam_1992,0,16,17,be,be,VB,VB
335,Surinam_1992,0,16,18,decided,decided,VBN,VB
336,Surinam_1992,0,16,19,by,by,IN,IN
337,Surinam_1992,0,16,20,law,law,NN,NN
338,Surinam_1992,0,17,0,2,2,CD,CD
339,Surinam_1992,0,18,0,Naturalization,naturalization,NNP,NN
340,Surinam_1992,0,18,1,shall,shall,MD,MD
341,Surinam_1992,0,18,2,be,be,VB,VB
342,Surinam_1992,0,18,3,regulated,regulated,VBN,VB
343,Surinam_1992,0,18,4,by,by,IN,IN
344,Surinam_1992,0,18,5,law,law,NN,NN
345,Surinam_1992,0,19,0,3,3,CD,CD
346,Surinam_1992,0,20,0,All,all,DT,DT
347,Surinam_1992,0,20,1,Suriname,suriname,NNP,NN
348,Surinam_1992,0,20,2,citizens,citizens,NNS,NN
349,Surinam_1992,0,20,3,are,are,VBP,VB
350,Surinam_1992,0,20,4,allowed,allowed,VBN,VB
351,Surinam_1992,0,20,5,access,access,NN,NN
352,Surinam_1992,0,20,6,into,into,IN,IN
353,Surinam_1992,0,20,7,Suriname,suriname,NNP,NN
354,Surinam_1992,0,20,8,and,and,CC,CC
355,Surinam_1992,0,20,9,are,are,VBP,VB
356,Surinam_1992,0,20,10,free,free,JJ,JJ
357,Surinam_1992,0,20,11,to,to,TO,TO
358,Surinam_1992,0,20,12,move,move,VB,VB
359,Surinam_1992,0,20,13,about,about,RB,RB
360,Surinam_1992,0,20,14,and,and,CC,CC
361,Surinam_1992,0,20,15,to,to,TO,TO
362,Surinam_1992,0,20,16,reside,reside,VB,VB
363,Surinam_1992,0,20,17,within,within,IN,IN
364,Surinam_1992,0,20,18,Suriname,suriname,NNP,NN
365,Surinam_1992,0,20,20,except,except,IN,IN
366,Surinam_1992,0,20,21,in,in,IN,IN
367,Surinam_1992,0,20,22,the,the,DT,DT
368,Surinam_1992,0,20,23,cases,cases,NNS,NN
369,Surinam_1992,0,20,25,defined,defined,VBN,VB
370,Surinam_1992,0,20,26,in,in,IN,IN
371,Surinam_1992,0,20,27,the,the,DT,DT
372,Surinam_1992,0,20,28,law,law,NN,NN
373,Surinam_1992,0,21,0,4,4,CD,CD
374,Surinam_1992,0,22,0,All,all,DT,DT
375,Surinam_1992,0,22,1,Suriname,suriname,NNP,NN
376,Surinam_1992,0,22,2,citizens,citizens,NNS,NN
377,Surinam_1992,0,22,3,shall,shall,MD,MD
378,Surinam_1992,0,22,4,be,be,VB,VB
379,Surinam_1992,0,22,5,eligible,eligible,JJ,JJ
380,Surinam_1992,0,22,6,for,for,IN,IN
381,Surinam_1992,0,22,7,appointment,appointment,NN,NN
382,Surinam_1992,0,22,8,to,to,TO,TO
383,Surinam_1992,0,22,9,any,any,DT,DT
384,Surinam_1992,0,22,10,public,public,JJ,JJ
385,Surinam_1992,0,22,11,office,office,NN,NN
386,Surinam_1992,0,22,12,in,in,IN,IN
387,Surinam_1992,0,22,13,without,without,IN,IN
388,Surinam_1992,0,22,14,discrimination,discrimination,NN,NN
389,Surinam_1992,0,23,0,5,5,CD,CD
390,Surinam_1992,0,24,0,The,the,DT,DT
391,Surinam_1992,0,24,1,law,law,NN,NN
392,Surinam_1992,0,24,2,shall,shall,MD,MD
393,Surinam_1992,0,24,3,determine,determine,VB,VB
394,Surinam_1992,0,24,4,in,in,IN,IN
395,Surinam_1992,0,24,5,which,which,WDT,WD
396,Surinam_1992,0,24,6,public,public,JJ,JJ
397,Surinam_1992,0,24,7,offices,offices,NNS,NN
398,Surinam_1992,0,24,8,foreigners,foreigners,NNS,NN
399,Surinam_1992,0,24,9,can,can,MD,MD
400,Surinam_1992,0,24,10,be,be,VB,VB
401,Surinam_1992,0,24,11,appointed,appointed,VBN,VB
402,Surinam_1992,0,25,0,6,6,CD,CD
403,Surinam_1992,0,26,0,The,the,DT,DT
404,Surinam_1992,0,26,1,admission,admission,NN,NN
405,Surinam_1992,0,26,2,of,of,IN,IN
406,Surinam_1992,0,26,3,foreigners,foreigners,NNS,NN
407,Surinam_1992,0,26,4,and,and,CC,CC
408,Surinam_1992,0,26,5,their,their,PRP$,PR
409,Surinam_1992,0,26,6,expulsion,expulsion,NN,NN
410,Surinam_1992,0,26,7,shall,shall,MD,MD
411,Surinam_1992,0,26,8,be,be,VB,VB
412,Surinam_1992,0,26,9,regulated,regulated,VBN,VB
413,Surinam_1992,0,26,10,by,by,IN,IN
414,Surinam_1992,0,26,11,law,law,NN,NN
415,Surinam_1992,0,27,0,7,7,CD,CD
416,Surinam_1992,0,28,0,The,the,DT,DT
417,Surinam_1992,0,28,1,law,law,NN,NN
418,Surinam_1992,0,28,2,shall,shall,MD,MD
419,Surinam_1992,0,28,3,determine,determine,VB,VB
420,Surinam_1992,0,28,4,the,the,DT,DT
421,Surinam_1992,0,28,5,rules,rules,NNS,NN
422,Surinam_1992,0,28,6,regarding,regarding,VBG,VB
423,Surinam_1992,0,28,7,the,the,DT,DT
424,Surinam_1992,0,28,8,extradition,extradition,NN,NN
425,Surinam_1992,0,28,9,of,of,IN,IN
426,Surinam_1992,0,28,10,foreigners,foreigners,NNS,NN
427,Surinam_1992,0,28,12,extradition,extradition,NN,NN
428,Surinam_1992,0,28,13,can,can,MD,MD
429,Surinam_1992,0,28,14,only,only,RB,RB
430,Surinam_1992,0,28,15,be,be,VB,VB
431,Surinam_1992,0,28,16,effected,effected,VBN,VB
432,Surinam_1992,0,28,17,on,on,IN,IN
433,Surinam_1992,0,28,18,the,the,DT,DT
434,Surinam_1992,0,28,19,basis,basis,NN,NN
435,Surinam_1992,0,28,20,of,of,IN,IN
436,Surinam_1992,0,28,21,a,a,DT,DT
437,Surinam_1992,0,28,22,treaty,treaty,NN,NN
438,Surinam_1992,0,28,23,and,and,CC,CC
439,Surinam_1992,0,28,24,in,in,IN,IN
440,Surinam_1992,0,28,25,the,the,DT,DT
441,Surinam_1992,0,28,26,manner,manner,NN,NN
442,Surinam_1992,0,28,27,determined,determined,VBN,VB
443,Surinam_1992,0,28,28,by,by,IN,IN
444,Surinam_1992,0,28,29,law,law,NN,NN
445,Surinam_1992,0,29,0,Fourth,fourth,JJ,JJ
446,Surinam_1992,0,29,1,Section,section,NN,NN
447,Surinam_1992,0,30,0,STATE,state,NN,NN
448,Surinam_1992,0,30,1,AND,and,CC,CC
449,Surinam_1992,0,30,2,SOCIETY,society,NNP,NN
450,Surinam_1992,0,30,3,Share,share,NNP,NN
451,Surinam_1992,0,30,4,Article,article,NNP,NN
452,Surinam_1992,0,30,5,4,4,CD,CD
453,Surinam_1992,0,30,6,Share,share,NNP,NN
454,Surinam_1992,0,30,7,The,the,DT,DT
455,Surinam_1992,0,30,8,concern,concern,NN,NN
456,Surinam_1992,0,30,9,of,of,IN,IN
457,Surinam_1992,0,30,10,the,the,DT,DT
458,Surinam_1992,0,30,11,State,state,NNP,NN
459,Surinam_1992,0,30,12,is,is,VBZ,VB
460,Surinam_1992,0,30,13,aimed,aimed,VBN,VB
461,Surinam_1992,0,30,14,at,at,IN,IN
462,Surinam_1992,0,30,16,a.The,athe,JJ,JJ
463,Surinam_1992,0,30,17,construction,construction,NN,NN
464,Surinam_1992,0,30,18,and,and,CC,CC
465,Surinam_1992,0,30,19,maintenance,maintenance,NN,NN
466,Surinam_1992,0,30,20,of,of,IN,IN
467,Surinam_1992,0,30,21,a,a,DT,DT
468,Surinam_1992,0,30,22,national,national,JJ,JJ
469,Surinam_1992,0,30,23,economy,economy,NN,NN
470,Surinam_1992,0,30,24,free,free,JJ,JJ
471,Surinam_1992,0,30,25,from,from,IN,IN
472,Surinam_1992,0,30,26,foreign,foreign,JJ,JJ
473,Surinam_1992,0,30,27,domination,domination,NN,NN
474,Surinam_1992,0,30,29,b.A,ba,CC,CC
475,Surinam_1992,0,30,30,Secured,secured,NNP,NN
476,Surinam_1992,0,30,31,means,means,VBZ,VB
477,Surinam_1992,0,30,32,of,of,IN,IN
478,Surinam_1992,0,30,33,livelihood,livelihood,NN,NN
479,Surinam_1992,0,30,34,for,for,IN,IN
480,Surinam_1992,0,30,35,the,the,DT,DT
481,Surinam_1992,0,30,36,entire,entire,JJ,JJ
482,Surinam_1992,0,30,37,nation,nation,NN,NN
483,Surinam_1992,0,30,39,c.Sufficient,csufficient,JJ,JJ
484,Surinam_1992,0,30,40,employment,employment,NN,NN
485,Surinam_1992,0,30,41,under,under,IN,IN
486,Surinam_1992,0,30,42,the,the,DT,DT
487,Surinam_1992,0,30,43,guarantee,guarantee,NN,NN
488,Surinam_1992,0,30,44,of,of,IN,IN
489,Surinam_1992,0,30,45,freedom,freedom,NN,NN
490,Surinam_1992,0,30,46,and,and,CC,CC
491,Surinam_1992,0,30,47,justice,justice,NN,NN
492,Surinam_1992,0,30,49,d.The,dthe,CC,CC
493,Surinam_1992,0,30,50,sharing,sharing,NN,NN
494,Surinam_1992,0,30,51,of,of,IN,IN
495,Surinam_1992,0,30,52,everyone,everyone,NN,NN
496,Surinam_1992,0,30,53,in,in,IN,IN
497,Surinam_1992,0,30,54,the,the,DT,DT
498,Surinam_1992,0,30,55,economic,economic,JJ,JJ
